HEADER_START_TIME,HEADER_STOP_TIME,MEAN_X,MEAN_Y,MEAN_Z,VARIANCE_X,VARIANCE_Y,VARIANCE_Z,ZERO_CROSSING_RATE_X,ZERO_CROSSING_RATE_Y,ZERO_CROSSING_RATE_Z,ABSOLUTE_MAX_X,ABSOLUTE_MAX_Y,ABSOLUTE_MAX_Z,DOMINANT_FREQUENCY_1_X,DOMINANT_FREQUENCY_1_Y,DOMINANT_FREQUENCY_1_Z,ENERGY_DOMINANT_FREQUENCY_1_X,ENERGY_DOMINANT_FREQUENCY_1_Y,ENERGY_DOMINANT_FREQUENCY_1_Z,ROLL_DEGREE,PITCH_DEGREE,PARTICIPANT_ID
2016-02-01 12:21:50,2016-02-01 12:21:55,0.113,-0.997,-0.185,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.998,0.195,0.2,0.2,0.2,0.015,1.111,0.036,-78.0,31.0,SPADES_20
2016-02-01 12:21:55,2016-02-01 12:22:00,0.112,-0.997,-0.189,0.0,0.0,0.0,0.0,0.0,0.0,0.116,0.998,0.198,0.0,0.0,0.0,0.003,0.292,0.011,-78.0,31.0,SPADES_20
2016-02-01 12:22:00,2016-02-01 12:22:05,0.114,-0.999,-0.166,0.0,0.0,0.002,0.0,0.0,0.0,0.162,1.011,0.211,0.0,0.0,0.0,0.007,0.575,0.011,-77.0,29.0,SPADES_20
2016-02-01 12:22:05,2016-02-01 12:22:10,0.11,-1.0,-0.168,0.0,0.0,0.0,0.0,0.0,0.0,0.13,1.007,0.201,0.0,0.0,0.0,0.001,0.033,0.011,-79.0,33.0,SPADES_20
2016-02-01 12:22:10,2016-02-01 12:22:15,0.112,-1.002,-0.181,0.0,0.002,0.002,0.0,0.0,0.003,0.26,1.232,0.253,0.0,0.0,0.0,0.0,0.058,0.021,-78.0,28.0,SPADES_20
2016-02-01 12:22:15,2016-02-01 12:22:20,0.322,-0.975,-0.015,0.01,0.053,0.004,0.0,0.0,0.062,0.505,1.315,0.199,0.2,2.4,0.2,0.061,0.535,0.038,-71.0,84.0,SPADES_20
2016-02-01 12:22:20,2016-02-01 12:22:25,0.253,-0.981,-0.122,0.018,0.029,0.005,0.0,0.0,0.015,0.511,1.289,0.231,0.0,2.4,0.0,0.094,0.163,0.033,-70.0,75.0,SPADES_20
2016-02-01 12:22:25,2016-02-01 12:22:30,0.083,-1.0,-0.195,0.0,0.0,0.0,0.0,0.0,0.0,0.088,1.003,0.221,0.0,0.2,0.0,0.24,0.0,0.098,-78.0,23.0,SPADES_20
2016-02-01 12:22:30,2016-02-01 12:22:35,0.113,-1.002,-0.158,0.007,0.009,0.012,0.0,0.0,0.007,0.426,1.313,0.272,0.0,2.4,0.4,0.022,0.02,0.02,-77.0,20.0,SPADES_20
2016-02-01 12:22:35,2016-02-01 12:22:40,0.328,-0.982,-0.063,0.011,0.058,0.003,0.0,0.0,0.033,0.551,1.302,0.176,0.0,2.4,0.0,0.169,0.562,0.154,-71.0,80.0,SPADES_20
2016-02-01 12:22:40,2016-02-01 12:22:45,0.222,-0.979,-0.138,0.015,0.028,0.004,0.0,0.0,0.005,0.499,1.299,0.224,0.0,2.4,0.6,0.065,0.181,0.007,-70.0,77.0,SPADES_20
2016-02-01 12:22:45,2016-02-01 12:22:50,0.12,-0.998,-0.166,0.001,0.0,0.002,0.0,0.0,0.0,0.185,1.007,0.209,0.0,0.0,0.0,0.276,0.002,0.066,-77.0,28.0,SPADES_20
2016-02-01 12:22:50,2016-02-01 12:22:55,0.179,-0.994,-0.145,0.014,0.016,0.01,0.0,0.0,0.015,0.543,1.323,0.266,0.0,2.4,0.2,0.033,0.066,0.023,-76.0,26.0,SPADES_20
2016-02-01 12:22:55,2016-02-01 12:23:00,0.325,-0.98,-0.045,0.012,0.06,0.002,0.0,0.0,0.08,0.52,1.303,0.182,0.0,2.4,0.0,0.245,0.644,0.092,-71.0,77.0,SPADES_20
2016-02-01 12:23:00,2016-02-01 12:23:05,0.187,-0.988,-0.127,0.017,0.022,0.002,0.005,0.0,0.005,0.502,1.287,0.178,0.2,2.4,0.2,0.043,0.09,0.006,-74.0,64.0,SPADES_20
2016-02-01 12:23:05,2016-02-01 12:23:10,0.092,-1.0,-0.183,0.0,0.0,0.002,0.0,0.0,0.0,0.139,1.01,0.219,0.0,0.0,0.0,0.227,0.002,0.046,-80.0,46.0,SPADES_20
2016-02-01 12:23:10,2016-02-01 12:23:15,0.131,-0.992,-0.17,0.007,0.0,0.004,0.0,0.0,0.005,0.356,1.003,0.216,0.0,0.4,0.0,0.004,0.0,0.012,-78.0,20.0,SPADES_20
2016-02-01 12:23:15,2016-02-01 12:23:20,0.16,-1.001,-0.101,0.007,0.004,0.015,0.0,0.0,0.013,0.333,1.191,0.368,0.0,0.8,0.4,0.124,0.027,0.055,-72.0,11.0,SPADES_20
2016-02-01 12:23:20,2016-02-01 12:23:25,0.203,-0.987,-0.135,0.004,0.001,0.005,0.0,0.0,0.003,0.305,1.113,0.229,0.2,0.2,0.2,0.022,0.003,0.051,-79.0,71.0,SPADES_20
2016-02-01 12:23:25,2016-02-01 12:23:30,0.242,-0.974,-0.088,0.007,0.0,0.005,0.0,0.0,0.007,0.348,1.014,0.243,0.4,0.4,0.2,0.046,0.002,0.059,-78.0,84.0,SPADES_20
2016-02-01 12:23:30,2016-02-01 12:23:35,0.312,-0.957,0.005,0.0,0.0,0.0,0.0,0.0,0.02,0.324,0.974,0.024,0.2,0.0,0.2,0.008,0.0,0.016,-72.0,90.0,SPADES_20
2016-02-01 12:23:35,2016-02-01 12:23:40,0.312,-0.785,0.307,0.018,0.08,0.096,0.0,0.0,0.005,0.512,1.234,0.891,0.2,0.0,0.0,0.11,0.225,0.18,-67.0,-71.0,SPADES_20
2016-02-01 12:23:40,2016-02-01 12:23:45,0.474,-0.22,0.804,0.002,0.01,0.006,0.0,0.0,0.0,0.6,0.552,0.867,0.0,0.0,0.0,0.026,0.572,0.797,-13.0,-28.0,SPADES_20
2016-02-01 12:23:45,2016-02-01 12:23:50,0.463,-0.175,0.832,0.0,0.0,0.0,0.0,0.0,0.0,0.477,0.208,0.845,0.2,0.2,0.2,0.007,0.042,0.031,-12.0,-30.0,SPADES_20
2016-02-01 12:23:50,2016-02-01 12:23:55,0.487,-0.133,0.824,0.001,0.003,0.0,0.0,0.0,0.0,0.552,0.22,0.865,0.0,0.0,0.0,0.023,0.312,0.219,-10.0,-30.0,SPADES_20
2016-02-01 12:23:55,2016-02-01 12:24:00,0.481,-0.1,0.836,0.0,0.0,0.0,0.0,0.0,0.0,0.498,0.122,0.839,0.0,0.0,0.2,0.001,0.006,0.007,-7.0,-30.0,SPADES_20
2016-02-01 12:24:00,2016-02-01 12:24:05,0.492,-0.081,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.501,0.091,0.838,0.0,0.0,0.0,0.0,0.021,0.043,-5.0,-30.0,SPADES_20
2016-02-01 12:24:05,2016-02-01 12:24:10,0.5,-0.07,0.826,0.0,0.0,0.0,0.0,0.0,0.0,0.503,0.074,0.83,0.0,0.0,0.2,0.001,0.001,0.001,-4.0,-31.0,SPADES_20
2016-02-01 12:24:10,2016-02-01 12:24:15,0.496,-0.07,0.829,0.0,0.0,0.0,0.0,0.0,0.0,0.501,0.081,0.834,0.0,0.0,0.0,0.0,0.002,0.003,-4.0,-31.0,SPADES_20
2016-02-01 12:24:15,2016-02-01 12:24:20,0.501,-0.079,0.824,0.0,0.0,0.0,0.0,0.0,0.0,0.515,0.105,0.833,0.0,0.2,0.2,0.001,0.002,0.0,-5.0,-31.0,SPADES_20
2016-02-01 12:24:20,2016-02-01 12:24:25,0.504,-0.064,0.824,0.0,0.0,0.0,0.0,0.0,0.0,0.512,0.066,0.83,0.0,0.0,0.2,0.001,0.001,0.0,-4.0,-32.0,SPADES_20
2016-02-01 12:24:25,2016-02-01 12:24:30,0.504,-0.062,0.824,0.0,0.0,0.0,0.0,0.0,0.0,0.507,0.064,0.827,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,-32.0,SPADES_20
2016-02-01 12:24:30,2016-02-01 12:24:35,0.503,-0.06,0.825,0.0,0.0,0.0,0.0,0.0,0.0,0.506,0.062,0.828,0.2,0.0,0.0,0.0,0.0,0.0,-4.0,-31.0,SPADES_20
2016-02-01 12:24:35,2016-02-01 12:24:40,0.511,-0.051,0.821,0.0,0.0,0.0,0.0,0.0,0.0,0.515,0.06,0.824,0.2,0.0,0.4,0.0,0.0,0.0,-3.0,-32.0,SPADES_20
2016-02-01 12:24:40,2016-02-01 12:24:45,0.534,-0.122,0.793,0.004,0.004,0.002,0.0,0.0,0.0,0.658,0.212,0.854,0.2,0.2,0.2,0.018,0.017,0.008,-3.0,-32.0,SPADES_20
2016-02-01 12:24:45,2016-02-01 12:24:50,0.484,-0.219,0.81,0.001,0.0,0.0,0.0,0.0,0.0,0.539,0.244,0.83,0.0,0.0,0.0,0.017,0.017,0.012,-13.0,-32.0,SPADES_20
2016-02-01 12:24:50,2016-02-01 12:24:55,0.528,-0.21,0.785,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.234,0.825,0.0,0.2,0.0,0.013,0.007,0.006,-10.0,-31.0,SPADES_20
2016-02-01 12:24:55,2016-02-01 12:25:00,0.535,-0.219,0.779,0.0,0.0,0.0,0.0,0.0,0.0,0.548,0.223,0.782,0.0,0.0,0.0,0.007,0.01,0.001,-13.0,-35.0,SPADES_20
2016-02-01 12:25:00,2016-02-01 12:25:05,0.532,-0.224,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.535,0.227,0.782,0.2,0.0,0.4,0.0,0.0,0.0,-13.0,-34.0,SPADES_20
2016-02-01 12:25:05,2016-02-01 12:25:10,0.529,-0.225,0.781,0.0,0.0,0.0,0.0,0.0,0.0,0.533,0.227,0.785,0.0,0.0,0.0,0.001,0.002,0.0,-13.0,-34.0,SPADES_20
2016-02-01 12:25:10,2016-02-01 12:25:15,0.527,-0.226,0.782,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.228,0.786,0.4,0.2,0.2,0.0,0.0,0.0,-14.0,-34.0,SPADES_20
2016-02-01 12:25:15,2016-02-01 12:25:20,0.527,-0.227,0.781,0.0,0.0,0.0,0.0,0.0,0.0,0.529,0.229,0.783,0.0,0.0,0.0,0.0,0.0,0.0,-14.0,-34.0,SPADES_20
2016-02-01 12:25:20,2016-02-01 12:25:25,0.525,-0.227,0.783,0.0,0.0,0.0,0.0,0.0,0.0,0.528,0.229,0.785,0.2,0.0,0.2,0.0,0.0,0.0,-14.0,-34.0,SPADES_20
2016-02-01 12:25:25,2016-02-01 12:25:30,0.526,-0.228,0.782,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.23,0.785,0.0,0.0,0.0,0.0,0.0,0.0,-14.0,-34.0,SPADES_20
