source,target,weight
biking outdoor,sitting,0
biking outdoor,standing,8
biking outdoor,on escalator going up,0
biking outdoor,in elevator going up,0
biking outdoor,walking at 1 mph,0
biking outdoor,walking at 2 mph,0
biking outdoor,walking at 3.5 mph,0
biking outdoor,walking at 3 mph,0
biking outdoor,walking outdoor,0
biking outdoor,walking stairs up,0
biking outdoor,walking stairs down,0
biking outdoor,running at 5.5 mph 5% grade on treadmill,0
biking outdoor,biking outdoor,0
biking outdoor,biking stationary at 300 KPM/min,15
biking outdoor,vending machine,0
biking outdoor,frisbee,3
biking outdoor,lying on back,0
biking outdoor,sweeping,4
biking outdoor,folding pile of towels,0
biking outdoor,shelf unloading,0
biking outdoor,shelf reloading,0
biking outdoor,jumping jacks,0
biking stationary at 300 KPM/min,sitting,0
biking stationary at 300 KPM/min,standing,0
biking stationary at 300 KPM/min,on escalator going up,0
biking stationary at 300 KPM/min,in elevator going up,0
biking stationary at 300 KPM/min,walking at 1 mph,0
biking stationary at 300 KPM/min,walking at 2 mph,0
biking stationary at 300 KPM/min,walking at 3.5 mph,0
biking stationary at 300 KPM/min,walking at 3 mph,0
biking stationary at 300 KPM/min,walking outdoor,0
biking stationary at 300 KPM/min,walking stairs up,1
biking stationary at 300 KPM/min,walking stairs down,0
biking stationary at 300 KPM/min,running at 5.5 mph 5% grade on treadmill,0
biking stationary at 300 KPM/min,biking outdoor,53
biking stationary at 300 KPM/min,biking stationary at 300 KPM/min,39
biking stationary at 300 KPM/min,vending machine,0
biking stationary at 300 KPM/min,frisbee,0
biking stationary at 300 KPM/min,lying on back,0
biking stationary at 300 KPM/min,sweeping,0
biking stationary at 300 KPM/min,folding pile of towels,0
biking stationary at 300 KPM/min,shelf unloading,0
biking stationary at 300 KPM/min,shelf reloading,0
biking stationary at 300 KPM/min,jumping jacks,1
folding pile of towels,sitting,0
folding pile of towels,standing,24
folding pile of towels,on escalator going up,0
folding pile of towels,in elevator going up,0
folding pile of towels,walking at 1 mph,42
folding pile of towels,walking at 2 mph,0
folding pile of towels,walking at 3.5 mph,0
folding pile of towels,walking at 3 mph,0
folding pile of towels,walking outdoor,0
folding pile of towels,walking stairs up,0
folding pile of towels,walking stairs down,0
folding pile of towels,running at 5.5 mph 5% grade on treadmill,0
folding pile of towels,biking outdoor,0
folding pile of towels,biking stationary at 300 KPM/min,0
folding pile of towels,vending machine,0
folding pile of towels,frisbee,0
folding pile of towels,lying on back,0
folding pile of towels,sweeping,1
folding pile of towels,folding pile of towels,4
folding pile of towels,shelf unloading,1
folding pile of towels,shelf reloading,3
folding pile of towels,jumping jacks,0
frisbee,sitting,0
frisbee,standing,0
frisbee,on escalator going up,0
frisbee,in elevator going up,0
frisbee,walking at 1 mph,0
frisbee,walking at 2 mph,0
frisbee,walking at 3.5 mph,0
frisbee,walking at 3 mph,0
frisbee,walking outdoor,2
frisbee,walking stairs up,3
frisbee,walking stairs down,1
frisbee,running at 5.5 mph 5% grade on treadmill,0
frisbee,biking outdoor,0
frisbee,biking stationary at 300 KPM/min,0
frisbee,vending machine,0
frisbee,frisbee,17
frisbee,lying on back,0
frisbee,sweeping,1
frisbee,folding pile of towels,0
frisbee,shelf unloading,0
frisbee,shelf reloading,1
